requirement_id,source_document,source_status,in_force,phase,block,strand,item_no,requirement_text_verbatim,also_named_by_kcsie_2026,satisfiable_by_pupil_lessons,coverage,modules_that_teach_it,evidence_in_the_lessons,what_is_missing
RSHE-P-OSA-1,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Relationships education (primary),Online safety and awareness,1,"That people should be respectful in online interactions, and that the same principles apply to online relationships as to face-to-face relationships, including where people are anonymous. For example, the importance of avoiding putting pressure on others to share information and images online, and strategies for resisting peer pressure.",para 165 contact: peer-to-peer pressure,Yes,FULL,ks1-02-kind-screens-calm-bodies; ks2-07-privacy-reputation; ks2-08-kind-safe-online,"ks1-02 s9 teaches 'On screens we use the same kind words we use in the classroom. Screen words are still real words and they can still hurt.' ks2-07 s12 runs a group chat scenario that applies direct pressure to send a photo ('nearly everyone has done it, just waiting on YOU'). ks2-08 teaches bystander behaviour in a pile on.","Closed by migration 310. The ks1-02 keywords slide now teaches, in fifteen seconds, that sometimes you cannot see who is talking to you, that it changes nothing about using kind words, and that not knowing who it is makes telling a grown up more important rather than less."
RSHE-P-OSA-2,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Relationships education (primary),Online safety and awareness,2,"How to critically evaluate their online relationships and sources of information, including awareness of the risks associated with people they have never met. For example, that people sometimes behave differently online, including pretending to be someone else, or pretending to be a child, and that this can lead to dangerous situations. How to recognise harmful content or harmful contact, and how to report this.",para 165 contact: adults posing as children or young adults with the intention to groom or exploit them,Yes,FULL,ks1-03-real-pretend-computer; ks2-07-privacy-reputation; ks2-08-kind-safe-online,"ks1-03 teaches sorting pictures into real, pretend and computer made, with a detective question said aloud before believing a picture. ks2-07 s12 shows a group chat with '2 you have never met'. ks2-08 teaches recognising harmful contact and the three moves ending in tell someone who can help.","Closed by migration 310. ks2-07 now teaches that online anybody can say they are anybody, that a grown up can make an account saying they are eleven, and the one rule that follows: if someone you have not met asks about you, asks for a photo, or asks you to keep the chat secret, you stop and tell a grown up."
RSHE-P-OSA-3,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Relationships education (primary),Online safety and awareness,3,"That there is a minimum age for joining social media sites (currently 13), which protects children from inappropriate content or unsafe contact with older social media users, who may be strangers, including other children and adults.",,Yes,FULL,ks2-26-why-thirteen,"ks2-26 is a 31 slide module on the age rule. s8 'Thirteen is a real rule, not a guess' teaches that the number comes from data protection law, the age at which a child can agree to a company collecting their data. s10 'The shield has four parts' names what the age switches on: what you see, who can reach you, what is sold to you, and what happens when you ask for help. s11 'The protections are wired to the number' teaches that a false age lets all four go at once with nothing on screen changing, and the birthday box scenario shows how easy that is.","Closed by migration 312. The requirement's clause about unsafe contact with older users is carried by the second protection, who can reach you: adults you do not follow cannot message a child's account, and that stops the moment the age says nineteen."
RSHE-P-OSA-4,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Relationships education (primary),Online safety and awareness,4,The importance of exercising caution about sharing any information about themselves online. Understanding the importance of privacy and location settings to protect information online.,,Yes,FULL,ks2-07-privacy-reputation,"ks2-07 is a full module on the judgement: the private list, the share test, three questions including 'does it give away where I am?', and 'Privacy is not hiding everything, it is choosing.' s16 teaches that location leaks hide in the corners of photos (uniform, street signs, school name).","Closed by migration 310. The share test now ends on the settings, the one thing on the slide a child can act on that night: apps have a settings page, two of its switches are privacy and location, and location off means the photo stops carrying a map."
RSHE-P-OSA-5,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Relationships education (primary),Online safety and awareness,5,"Online risks, including that any material provided online might be circulated, and that once a picture or words has been circulated there is no way of deleting it everywhere and no control over where it ends up.",,Yes,FULL,ks2-07-privacy-reputation,"ks2-07 s11 'The internet remembers', s13 'The journey of one shared photo', s15 'Your footprint grows either way', and a prove phase that tests the judgement on real cases.",
RSHE-P-OSA-6,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Relationships education (primary),Online safety and awareness,6,"That the internet contains a lot of content that can be inappropriate and upsetting for children, and where to go for advice and support when they feel worried or concerned about something they have seen or engaged with online.","para 165 content: being exposed to illegal, inappropriate, or harmful content",Yes,FULL,eyfs-01-screens-kindness; ks1-02-kind-screens-calm-bodies; ks2-08-kind-safe-online,"eyfs-01 teaches 'Ask a grown up: is this real?' and has every child name a trusted grown up at home and at school. ks1-02 teaches 'feel it, name it, tell a grown up' with the line 'You are never in trouble for telling.' ks2-08 move three is tell someone who can help.",
RSHE-P-WO-1,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,Wellbeing online,1,That for almost everyone the internet is an integral part of life. Pupils should be supported to think about positive and negative aspects of the internet.,,Yes,FULL,ks2-04-screen-routines; eyfs-01-screens-kindness,The positive pathway register runs through every module: screens are treated as ordinary and the lessons teach judgement rather than prohibition.,"Closed by migration 310. ks2-04 now closes on the question the scheme's register always implied and never asked: the internet is neither the enemy nor a treat, it has brilliant things and rubbish things in it, often on the same screen, and being good at it means knowing which is which."
RSHE-P-WO-2,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,Wellbeing online,2,"Pupils should be supported to discuss how online relationships can complement and support meaningful in-person relationships, but also how they might be in tension, and the reasons why online relationships are unlikely to be a good substitute for high quality in-person relationships, looking at the pros and cons of different ways of using online connection.",,Yes,FULL,ks2-08-kind-safe-online; ks2-23-when-a-machine-talks-like-a-friend,"ks2-23 teaches that a machine that talks like a friend is not a friend, which is adjacent to the requirement.","Closed by migration 310. ks2-08 now teaches that talking to friends online is real talking and thinner than being with them, because a screen carries your words and drops your face and your voice."
RSHE-P-WO-3,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,Wellbeing online,3,"The benefits of limiting time spent online, the risks of excessive time spent on electronic devices and the impact of positive and negative content online on their own and others’ mental and physical wellbeing.",,Yes,FULL,ks1-02-kind-screens-calm-bodies; ks2-04-screen-routines,"ks1-02 objective is 'Notice what my body is telling me after screen time' and teaches feeling words for wiggly, grumpy and tired. ks2-04 is a full module on routines, with the four moments (after school, bedtime, mealtimes, homework) named on the slide.",
RSHE-P-WO-4,"DfE Relationships Education, Relationships and Sex Education (RSE) and Health Education, statutory guidance, July 2025, for introduction September 2026",STATUTORY CURRICULUM (schools must have regard to it; the subjects are compulsory),"1 September 2026, confirmed by KCSIE 2026 para 159: schools must have regard to the statutory guidance, 'revised for introduction September 2026'",Primary,Health and wellbeing,Wellbeing online,4,"How to consider the impact of their online behaviour on others, and how to recognise and display respectful behaviour online.",,Yes,FULL,ks1-02-kind-screens-calm-bodies; ks2-08-kind-safe-online,ks1-02 s9 'WE never send messages like this.' ks2-08 s11 teaches the gap 'between how it feels to send and how it feels to receive'.,
