id,entity_id,risk_name,description,severity,stages_affected,mitigation_setting_ids,residual_note,source_url,last_verified
ios_risk_workarounds,ios,Settings workarounds,Children reset devices; guess passcodes; change time zones or use web versions of blocked apps,medium,"learner,navigator,voyager","ios_screentime_passcode,ios_web_content,ios_app_store_rating",Controls are guardrails not walls; the workaround conversation matters more than the lock,https://support.apple.com/en-us/108806,2026-07-04
ios_risk_imessage_strangers,ios,Stranger contact via Messages and FaceTime,Unknown numbers can reach a child unless communication limits are set,high,"learner,navigator","ios_communication_limits,ios_communication_safety",Group chats added by known contacts can still include strangers,https://support.apple.com/en-us/105121,2026-07-04
ios_risk_appstore_gaps,ios,Age rating gaps in the App Store,Apps sometimes carry ratings lower than their content warrants; especially chat-enabled apps,medium,"learner,navigator,voyager","ios_ask_to_buy,ios_app_store_rating",Ask to Buy approval is your review moment; check what the app actually does,https://techcrunch.com/2026/06/08/apple-puts-parents-back-in-control-of-kids-iphone-use/,2026-07-04
android_risk_supervision_end,android,Supervision ends at 13,Children can opt out of Family Link at 13; parents are notified but control drops sharply,medium,"navigator,voyager","android_family_link",Plan the 13th birthday conversation before the birthday; agree what continues voluntarily,https://www.androidauthority.com/google-family-link-how-to-1067082/,2026-07-04
android_risk_sideload,android,Sideloading and alternative stores,APK files installed outside Google Play bypass every Play restriction,medium,"navigator,voyager","android_play_approval",Block unknown sources in device settings; watch for file-sharing apps,https://www.androidauthority.com/google-family-link-how-to-1067082/,2026-07-04
android_risk_bypass_guides,android,Public bypass tutorials,Step-by-step Family Link bypass guides circulate on YouTube and search,medium,"learner,navigator","android_family_link,android_daily_limit",Assume your child has seen them; ask what they know rather than pretending they have not,https://www.androidauthority.com/google-family-link-how-to-1067082/,2026-07-04
console_risk_stranger_voice,switch,Stranger voice and text chat in games,In-game chat exposes children to adults; grooming often starts with compliments and gift items,high,"explorer,learner,navigator","switch_communication,switch_gamechat",Voice chat via phone apps like Discord sits outside console controls entirely,https://www.nintendo.com/us/mobile-apps/parental-controls/,2026-07-04
switch_risk_shared_console,switch,One restriction level for all children,Switch controls are per console; siblings of different ages share the same limits,low,"explorer,learner,navigator","switch_restriction_level",Set for the youngest; use the PIN to unlock for the older child while supervised,https://en-americas-support.nintendo.com/app/answers/detail/a_id/22447/,2026-07-04
ps_risk_spending,playstation,In-game purchase pressure,Loot boxes; season passes and item shops apply constant engineered spending pressure,medium,"learner,navigator,voyager","ps_spending",Gift cards bypass caps; brief relatives who gift them,https://www.playstation.com/en-us/parental-controls/,2026-07-04
xbox_risk_crossplay,xbox,Cross-network play with strangers,Crossplay connects children to unmoderated PC populations,medium,"learner,navigator","xbox_communication",Friends-only multiplayer is the sensible middle before open crossplay,https://www.xbox.com/en-US/family-hub,2026-07-04
quest_risk_immersion,quest,Immersive harassment and adult spaces in VR,Social VR harassment lands harder than flat-screen equivalents; adult spaces are close by,high,"learner,navigator","quest_supervision,quest_app_ratings,quest_casting",Keep sessions short and in shared rooms; casting makes the invisible visible,https://familycenter.meta.com/,2026-07-04
tv_risk_signed_out_youtube,smart_tv,Signed-out YouTube on the TV,TV YouTube without a signed-in supervised account has no filters and full autoplay,medium,"explorer,learner","tv_youtube_signin,yt_autoplay_off",The TV is where the youngest children watch unsupervised most often,https://support.google.com/youtube/answer/13877231,2026-07-04
router_risk_mobile_data,router,Mobile data bypasses home filters,ISP filtering ends where 4G begins,medium,"navigator,voyager","router_isp_filter",Device-level controls travel with the child; the router is one layer of several,https://www.internetmatters.org/parental-controls/broadband-mobile/,2026-07-04
