id,entity_id,setting_name,what_it_does,why_it_matters,how_to_path,default_state,requires_parent_account,priority,bypass_risk,volatility,source_url,last_verified,stage_explorer,stage_learner,stage_navigator,stage_voyager,stage_independent
ios_child_account,ios,Set up a child account in Family Sharing,Creates an Apple Account for your child inside your family group with age-based protections applied automatically,Everything else on Apple devices hangs off this. Age must be correct because iOS uses it to decide which protections apply,Settings > [Your Name] > Family Sharing > Add Member > Create Child Account,Required under 13; available to 18,true,essential,Child entering a false birthday at setup; check the age on the account,durable,https://support.apple.com/en-us/105121,2026-07-04,on_locked,on_locked,on,on,parent_choice
ios_screentime_passcode,ios,Screen Time passcode,A 4-digit code your child does not know that locks all parental settings in place,Without it every other setting can be switched off in seconds,Settings > Screen Time > Lock Screen Time Settings,Off,false,essential,Children guessing birthdays or watching you type it; choose a code they cannot guess and shield entry,durable,https://support.apple.com/en-us/108806,2026-07-04,on_locked,on_locked,on_locked,on_locked,parent_choice
ios_content_privacy,ios,Content and Privacy Restrictions,The master switch for purchase blocks; app age limits; web filters and privacy locks,Turning this off pauses every restriction underneath it,Settings > Screen Time > Content & Privacy Restrictions > On,On by default for child accounts in some regions,true,essential,None while passcode holds,durable,https://support.apple.com/en-us/105121,2026-07-04,on_locked,on_locked,on_locked,on,parent_choice
ios_web_content,ios,Web content filter and Ask to Browse,Limits adult websites or restricts Safari to approved sites only. Ask to Browse (iOS 27) makes children request each new website,Websites are the classic route around app blocks,Settings > Screen Time > Content & Privacy Restrictions > Content Restrictions > Web Content,Limit Adult Websites on for under 18s,true,essential,Other browsers if installed; pair with app approval,semi_volatile,https://www.apple.com/newsroom/2026/06/apple-previews-new-child-safety-features/,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
ios_communication_safety,ios,Communication Safety,Detects nudity in photos and videos before they are sent or viewed and adds a pause with help resources,First line against sexting pressure and unsolicited images. On automatically for under 18s,Settings > Screen Time > Communication Safety,On for under 18s,false,essential,None significant,durable,https://support.apple.com/en-us/105121,2026-07-04,on_locked,on_locked,on_locked,on_locked,on
ios_communication_limits,ios,Communication Limits and contact approval,Controls who your child can call and message and requires your approval when they add a new contact,Directly limits stranger contact through Phone; FaceTime and Messages,Settings > Screen Time > Communication Limits,Off,true,essential,Third party apps have their own messaging; cover those per platform,semi_volatile,https://support.apple.com/en-us/108806,2026-07-04,on_locked,on_locked,on,parent_choice,parent_choice
ios_ask_to_buy,ios,Ask to Buy,Every app download and in-app purchase needs your approval; free or paid,Stops surprise spending and blocks unapproved apps in one move,Family Sharing > [Child] > Ask to Buy,On for under 13s,true,essential,Gift cards preloaded to the account,durable,https://support.apple.com/en-us/108806,2026-07-04,on_locked,on_locked,on,on,parent_choice
ios_downtime,ios,Downtime schedule,Blocks apps and notifications during hours you set; only allowed apps and calls work,Protects sleep and homework. Sleep loss is one of the best evidenced screen harms,Settings > Screen Time > Downtime,Off,false,essential,None while passcode holds,durable,https://support.apple.com/en-us/108806,2026-07-04,on,on,on,parent_choice,parent_choice
ios_app_limits,ios,App Limits by category,Daily time caps on app categories such as games and social; with expert-informed defaults by age in iOS 27,Caps the endless scroll without banning the app outright,Settings > Screen Time > App Limits,Off,false,recommended,Time limit nagging; approve extensions deliberately not reflexively,semi_volatile,https://support.apple.com/en-us/108806,2026-07-04,on,on,on,parent_choice,parent_choice
ios_app_store_rating,ios,App Store age rating cap,Hides apps above the age rating you choose; using the expanded 13+ 16+ 18+ bands,Stops age-inappropriate apps at the front door,Settings > Screen Time > Content & Privacy Restrictions > Content Restrictions > Apps,Matches account age,true,essential,Web versions of blocked apps; pair with web filter,semi_volatile,https://support.apple.com/en-us/105121,2026-07-04,on_locked,on_locked,on,on,parent_choice
