id,area,hypothesis_from_external_report,status,evidence,proposed_action,priority
H01,Claims,"Blue light delays sleep onset by 90 minutes",STILL PRESENT,app/page.tsx:101 flip card back face; no source,"Rewrite: Evening and in bed screen use, especially anything interactive, can push sleep later. Timing, content and the routine all matter.",P0
H02,Claims,"It is the phone as explanation of post screen mood",STILL PRESENT,app/page.tsx:109; contradicted by :889 on the same page,"Rewrite to the pattern tracking framing (see report section 5)",P0
H03,Claims,"One consistent routine replaces most daily arguments within two weeks",STILL PRESENT,app/page.tsx:156 and FAQPage JSON-LD :210-217,"Rewrite to a measurable product promise: you will see the number move on your own check ins",P0
H04,Claims,"Nine in ten parents argue (unsourced)",STILL PRESENT,app/page.tsx:591; only provenance research/homepage-audience-language.md:18 (StudyFinds secondary),"Either cite the primary survey next to it or soften to most parents",P0
H05,Claims,"Kids disable control apps in days",STILL PRESENT,app/page.tsx:708; no source,"Rewrite: children learn the workarounds and every fight gets worse",P0
H06,Claims,"Poverty 32% and social media 3% attribution published",NOT APPLICABLE-PRIOR FINDING UNSUPPORTED,Not on any product surface. Lives only in .claude/skills/viral-post/SKILL.md:36-44 and content packs; repo's own note (verification-notes.md:28) already bans combining the figures,"Keep off product surfaces; retire the figures from the viral post skill or attach the primary source",P1
H07,Claims,"Australian 60% bypassed figure without primary source",STILL PRESENT,lib/content/passport.ts:41-42 (60%); public/evidence.html:153 (61%); shared/social-media-law.ts:25 (two thirds),"One figure, one source (the contrarian briefing pins BMJ daily use 80% to 89% at 16); align all three surfaces",P1
H08,Claims,"UK ban stated as already in force",STILL PRESENT,app/page.tsx:164 (FAQ plus JSON-LD) and components/marketing/FaqAccordion.tsx:11 present tense; every other surface says Spring 2027,"Rewrite both lines to planned Spring 2027 wording; ideally read shared/social-media-law.ts",P0
H09,Claims,"Science backed wording",STILL PRESENT,app/page.tsx:26 36 44 190 297 (meta, OG, JSON-LD, hero); join:366 482,"Replace with evidence informed and updated as the research changes; remove UK Surgeon General line at join:482",P0
H10,Claims,"Ofsted and statutory by construction wording",STILL PRESENT,schools/app/page.tsx:24 234-235 336 581; philosophy:66,"Rewrite to supports schools to evidence relevant coverage; drop by construction",P1
